FoulIncidents,HomeTeam,AwayTeam,Matchday,FoulNo,TimeOfFoul,VictName,VictHeight,VictWeight,,PerpName,PerpHeight,PerpWeight,DifferencePerpVict,OutcomeVariable,FoulType,RefName,RefHeight,RefWeight,SecondRef,ThirdRef,GameNumber,,,,TallerAmongPlayers
98,,,,31,P4 - 08:25 ,"#88 YAKHCHALI, B.(MBC)",196,87,,"#2 WÜRZNER, N.(HDB)",196,85,0,1,,TamerARIK,180,86,,,3,,,,Vict
99,,,,32,P4 - 08:17 ,"#5 ELY, S.(HDB)",194,90,,"#30 GARBACZ, J.(MBC)",197,86,3,1,,OliverKRAUSE,182,80,,,3,,,,Perp
100,,,,33,P4 - 08:09 ,"#7 KERUSCH, S.(MBC)",195,105,,"#3 LOWERY, R.(HDB)",188,78,-7,0,,OliverKRAUSE,182,80,,,3,,,,Vict
101,,,,34,P4 - 06:16 ,"#23 HUSKIC, G.(MBC)",210,102,,"#8 UGRAI, M.(HDB)",201,104,-9,0,,OliverKRAUSE,182,80,,,3,,,,Vict
102,,,,35,P4 - 05:45 ,"#20 MORRIS, J.(MBC)",193,91,,"#1 CHAPMAN, B.(HDB)",206,97,13,1,,TamerARIK,180,86,,,3,,,,Perp
103,,,,36,P4 - 04:32 ,"#44 REBIC, N.(MBC)",188,80,,"#2 WÜRZNER, N.(HDB)",196,85,8,1,,NerminHODZIC,188,82,,,3,,,,Perp
104,,,,38,P4 - 03:14 ,"#22 COFFEY, C.(MBC)",201,100,,"#3 LOWERY, R.(HDB)",188,78,-13,0,,OliverKRAUSE,182,80,,,3,,,,Vict
105,,,,39,P4 - 00:38 ,"#3 LOWERY, R.(HDB)",188,78,,"#7 KERUSCH, S.(MBC)",195,105,7,1,,TamerARIK,180,86,,,3,,,,Perp
106,,,,40,P4 - 00:15 ,"#1 CHAPMAN, B.(HDB)",206,97,,"#8 RICHTER, J.(MBC)",205,98,-1,0,offensive,OliverKRAUSE,182,80,,,3,,,,Vict
107,,,,41,P4 - 00:14 ,"#3 LOWERY, R.(HDB)",188,78,,"#30 GARBACZ, J.(MBC)",197,86,9,1,,TamerARIK,180,86,,,3,,,,Perp
108,,,,42,P4 - 00:05 ,"#10 MARTIN, K.(HDB)",196,94,,"#7 KERUSCH, S.(MBC)",195,105,-1,0,,OliverKRAUSE,182,80,,,3,,,,Vict
109,EWE Baskets Oldenburg,HAKRO Crailsheim Merlins,2,1,P1 - 09:34,"#21 ODIASE, T.(OLD)",206,111,,"#1 LEWIS, J.(CRA)",201,98,-5,0,,GentianCICI,178,74,,,4,,,,Vict
110,,,,2,P1 - 08:41,"#0 SHORTS, T.(CRA)",175,73,,"#11 PRESSEY, P.(OLD)",180,82,5,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
111,,,,3,P1 - 07:12,"#0 SHORTS, T.(CRA)",175,73,,"#11 PRESSEY, P.(OLD)",180,82,5,1,,GentianCICI,178,74,,,4,,,,Perp
112,,,,4,P1 - 06:20,"#0 SHORTS, T.(CRA)",175,73,,"#23 PAULDING, R.(OLD)",196,102,21,1,,RobertLOTTERMOSER,186,76,,,4,,,,Perp
113,,,,5,P1 - 04:34,"#0 SHORTS, T.(CRA)",175,73,,"#33 HUNDT, B.(OLD)",180,73,5,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
114,,,,6,P1 - 03:55,"#8 HARRIS, T.(CRA)",193,87,,"#35 PJANIC, A.(OLD)",202,90,9,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
115,,,,7,P1 - 01:36,"#20 MICHALAK, M.(OLD)",197,95,,"#9 BLECK, F.(CRA)",200,96,3,1,,GentianCICI,178,74,,,4,,,,Perp
116,,,,8,P1 - 00:38,"#33 HUNDT, B.(OLD)",180,73,,"#34 ARIRIGUZOH, R.(CRA)",206,104,26,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
117,,,,9,P1 - 00:05,"#7 HERRERA, S.(OLD)",193,92,,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,20,1,,GentianCICI,178,74,,,4,,,,Perp
118,,,,10,P2 - 07:47,"#3 STUCKEY, M.(CRA)",187,88,,"#20 MICHALAK, M.(OLD)",197,95,10,1,,RobertLOTTERMOSER,186,76,,,4,,,,Perp
119,,,,11,P2 - 07:28,"#33 HUNDT, B.(OLD)",180,73,,"#0 SHORTS, T.(CRA)",175,73,-5,0,,RobertLOTTERMOSER,186,76,,,4,,,,Vict
120,,,,12,P2 - 05:43,"#21 ODIASE, T.(OLD)",206,111,,"#34 ARIRIGUZOH, R.(CRA)",206,104,0,1,,RobertLOTTERMOSER,186,76,,,4,,,,Vict
121,,,,13,P2 - 05:14,"#0 SHORTS, T.(CRA)",175,73,,"#3 HEIDEGGER, M.(OLD)",191,92,16,1,,GentianCICI,178,74,,,4,,,,Perp
122,,,,14,P2 - 03:45,"#15 RADOSAVLJEVIC, B.(CRA)",213,117,,"#23 PAULDING, R.(OLD)",196,102,-17,0,,GentianCICI,178,74,,,4,,,,Vict
123,,,,15,P2 - 02:59,"#3 STUCKEY, M.(CRA)",187,88,,"#7 HERRERA, S.(OLD)",193,92,6,1,,RadeeshKATTUR,175,83,,,4,,,,Perp
124,,,,16,P2 - 00:42,"#3 HEIDEGGER, M.(OLD)",191,92,,"#0 SHORTS, T.(CRA)",175,73,-16,0,,RobertLOTTERMOSER,186,76,,,4,,,,Vict
